Unnamed: 1_level_0_Player,Unnamed: 4_level_0_Squad,Unnamed: 0_level_0_Rk,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches,League_Unnamed: 37_level_1,Table_Unnamed: 38_level_1,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches,Unnamed: 23_level_0_A-xAG,Unnamed: 24_level_0_KP,Unnamed: 25_level_0_1/3,Unnamed: 26_level_0_PPA,Unnamed: 27_level_0_CrsPA,Unnamed: 28_level_0_Matches,Unnamed: 19_level_0_Matches,Unnamed: 27_level_0_Rec
Aaron Ciammaglichella,Torino,125,it ITA,MF,19.0,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Italy,stats_standard,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,,,,,
Aaron Cresswell,West Ham,113,eng ENG,DF,34.0,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.17,0.03,0.17,Matches,England,stats_standard,9.2,504,610,82.6,9299,3625,229,249,92.0,212,241,88.0,58,107,54.2,0,1.3,1.9,-1.3,9,52,5,2,36,Matches,0,5,0,0.0,0.55,0.00,0.00,,23.8,2,0,0,0.05,-0.2,-0.2,Matches,687,45,270,328,94,2,687,2,1,50.0,1,50.0,291,1102,526,6,8,0,4,0,437,4,Matches,15,1.64,7,8,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,610,511,98,33,1,5,36,52,13,11,2,0,504,1,10,Matches,,,,,,,,
Aaron Donnelly,Dundee,83,nir NIR,DF,21.0,2003,11,10,967,10.7,1,0,1,1,0,0,1,0,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,,Scotland,stats_standard,10.7,,,,,,,,,,,,,,,0,,,,,,,,,,1,8,2,25.0,0.74,0.19,0.13,0.50,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,9,,,,,,,,,Matches,,,,,,Matches,Matches,
Aaron Essel,St Johnstone,99,gh GHA,"MF,DF",19.0,2005,15,9,835,9.3,0,1,1,0,0,0,5,0,,,,,,,,0.00,0.11,0.11,0.00,0.11,,,,,,,Scotland,stats_standard,9.3,,,,,,,,,,,,,,,1,,,,,,,,,,0,7,2,28.6,0.75,0.22,0.00,0.00,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,20,,,,,,,,,Matches,,,,,,Matches,Matches,
Aaron Malouda,Lille,327,fr FRA,FW,18.0,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,France,stats_standard,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,0,0,0,0,0,0,0,0,0,,0,,1,3,0,0,0,0,0,1,1,0,Matches,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,,,,,
Aaron Meijers,RKC Waalwijk,303,nl NED,DF,36.0,1987,17,9,753,8.4,0,0,0,0,0,0,1,1,0.1,0.1,0.4,0.5,11,28,22,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,Netherlands,stats_standard,8.4,293,403,72.7,4903,1820,134,154,87.0,127,160,79.4,23,63,36.5,0,0.4,0.5,-0.4,7,23,8,1,28,Matches,0,2,0,0.0,0.24,0.00,0.00,,16.6,0,0,0,0.06,-0.1,-0.1,Matches,477,33,159,216,105,3,477,3,1,33.3,1,33.3,214,911,461,11,5,1,3,2,254,22,Matches,14,1.68,12,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,403,308,94,12,1,1,37,72,10,9,1,0,293,1,14,Matches,,,,,,,,
Aaron Nicolás Molinas,Defensa y Just,535,ar ARG,"MF,FW",24.0,2000,14,12,932,10.4,2,1,3,2,0,0,2,0,0.9,0.9,1.3,2.1,25,80,65,0.19,0.10,0.29,0.19,0.29,0.09,0.13,0.21,0.09,0.21,Matches,Argentina,stats_standard,10.4,396,496,79.8,7022,2121,183,205,89.3,149,182,81.9,53,78,67.9,1,1.3,1.6,-0.3,21,57,14,2,80,Matches,2,14,5,35.7,1.35,0.48,0.14,0.40,22.9,0,0,0,0.06,+1.1,+1.1,Matches,584,5,47,303,243,13,584,18,15,83.3,3,16.7,323,1670,699,25,24,1,19,16,432,65,Matches,41,4.05,27,10,1,1,2,0,3,0.30,1,2,0,0,0,0,Matches,496,460,31,8,4,6,34,4,17,7,6,1,396,5,11,Matches,,,,,,,,
Aaron Quirós,Vélez Sarsfield,630,ar ARG,DF,23.0,2001,9,7,590,6.6,0,0,0,0,0,0,5,2,0.1,0.1,0.0,0.1,3,30,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Argentina,stats_standard,6.6,291,371,78.4,5889,2482,75,91,82.4,179,200,89.5,33,71,46.5,0,0.0,0.0,0.0,0,12,0,0,30,Matches,0,2,0,0.0,0.31,0.00,0.00,,16.6,0,0,0,0.04,-0.1,-0.1,Matches,449,42,226,211,17,6,449,6,4,66.7,2,33.3,253,1446,930,3,3,0,4,0,272,0,Matches,2,0.31,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,371,326,45,21,0,3,1,24,0,0,0,0,291,0,5,Matches,,,,,,,,
Aaron Ramsdale,Southampton,426,eng ENG,GK,26.0,1998,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,England,stats_standard,30.0,774,1223,63.3,21949,16992,209,210,99.5,302,313,96.5,257,686,37.5,0,0.0,0.1,0.0,0,36,1,0,0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,1314,946,1286,32,0,0,1314,0,0,,0,,786,4017,2349,0,0,0,3,0,702,0,Matches,3,0.10,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1223,918,298,108,0,4,0,0,0,0,0,0,774,7,1,Matches,,,,,,,,
Aaron Wan-Bissaka,West Ham,543,eng ENG,DF,26.0,1997,36,35,3154,35.0,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.20,0.06,0.20,0.03,0.10,0.14,0.03,0.14,Matches,England,stats_standard,35.0,1472,1815,81.1,20696,7523,953,1056,90.2,449,550,81.6,48,105,45.7,5,3.5,2.8,+1.5,33,94,35,11,149,Matches,2,16,5,31.3,0.46,0.14,0.13,0.40,15.1,0,0,0,0.07,+0.8,+0.8,Matches,2256,147,682,969,637,48,2256,122,64,52.5,43,35.2,1092,6700,3661,110,65,15,35,22,1322,167,Matches,93,2.65,75,4,7,3,2,2,10,0.29,9,0,0,1,0,0,Matches,1815,1568,243,11,5,1,76,232,0,0,0,0,1472,4,62,Matches,,,,,,,,
Aarón Martín,Genoa,365,es ESP,DF,27.0,1997,36,35,3085,34.3,0,8,8,0,0,0,5,0,0.9,0.9,5.5,6.4,50,90,108,0.00,0.23,0.23,0.00,0.23,0.03,0.16,0.19,0.03,0.19,Matches,Italy,stats_standard,34.3,1221,1685,72.5,23065,8738,485,544,89.2,557,708,78.7,160,368,43.5,8,5.5,6.1,+2.5,65,77,30,21,90,Matches,0,16,4,25.0,0.47,0.12,0.00,0.00,23.6,5,0,0,0.06,-0.9,-0.9,Matches,1951,87,566,802,608,20,1951,27,12,44.4,12,44.4,878,4829,2293,50,31,4,22,17,1039,108,Matches,95,2.77,42,48,2,1,2,0,13,0.38,8,5,0,0,0,0,Matches,1685,1226,454,93,0,3,256,255,106,47,54,0,1221,5,30,Matches,,,,,,,,
Abakar Sylla,Strasbourg,510,ci CIV,DF,21.0,2002,21,10,950,10.6,1,0,1,1,0,0,2,1,0.4,0.4,0.1,0.5,0,21,3,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches,France,stats_standard,10.6,583,658,88.6,9980,3603,224,244,91.8,332,358,92.7,22,45,48.9,0,0.1,0.1,-0.1,1,21,1,0,21,Matches,1,5,1,20.0,0.47,0.09,0.20,1.00,9.0,0,0,0,0.08,+0.6,+0.6,Matches,791,151,510,258,26,9,791,6,3,50.0,3,50.0,425,1490,618,0,1,0,5,4,497,3,Matches,4,0.38,3,0,0,1,0,0,1,0.09,0,0,0,1,0,0,Matches,658,589,69,25,0,1,1,12,0,0,0,0,583,0,7,Matches,,,,,,,,
Abdallah Sima,Brest,492,sn SEN,"FW,MF",23.0,2001,27,14,1238,13.8,7,2,9,7,0,0,2,0,5.9,5.9,1.0,6.9,36,24,92,0.51,0.15,0.65,0.51,0.65,0.43,0.07,0.50,0.43,0.50,Matches,France,stats_standard,13.8,231,332,69.6,3140,660,142,183,77.6,72,105,68.6,8,10,80.0,2,1.0,0.9,+1.0,13,13,6,1,24,Matches,7,37,18,48.6,2.69,1.31,0.19,0.39,13.1,0,0,0,0.16,+1.1,+1.1,Matches,510,10,66,194,256,66,510,23,6,26.1,13,56.5,299,1998,711,36,16,20,53,22,378,92,Matches,28,2.04,20,0,1,4,3,0,3,0.22,2,0,0,0,1,0,Matches,332,327,5,2,0,1,16,3,0,0,0,0,231,0,15,Matches,,,,,,,,
Abde Ezzalzouli,Betis,188,ma MAR,"FW,MF",22.0,2001,32,23,1984,22.0,2,2,4,2,0,1,2,0,8.0,7.2,2.0,9.3,117,68,215,0.09,0.09,0.18,0.09,0.18,0.36,0.09,0.46,0.33,0.42,Matches,Spain,stats_standard,22.0,542,757,71.6,6695,1928,373,454,82.2,131,191,68.6,11,37,29.7,2,2.0,2.1,0.0,27,42,19,2,68,Matches,2,61,25,41.0,2.77,1.13,0.03,0.08,15.6,1,0,1,0.12,-6.0,-5.2,Matches,1081,10,120,407,585,151,1080,103,46,44.7,37,35.9,706,5210,3025,117,75,58,64,50,797,215,Matches,66,2.99,43,0,10,8,4,1,7,0.32,4,0,0,2,1,0,Matches,757,732,23,6,2,4,49,15,1,0,0,0,542,2,27,Matches,,,,,,,,
Abdel Abqar,Alavés,5,ma MAR,DF,25.0,1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04,Matches,Spain,stats_standard,27.4,719,939,76.6,16039,5771,180,194,92.8,421,460,91.5,114,258,44.2,1,0.3,0.4,+0.7,8,67,10,2,79,Matches,0,12,1,8.3,0.44,0.04,0.00,0.00,8.0,0,0,0,0.08,-0.9,-0.9,Matches,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4,Matches,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,Matches,939,888,48,40,1,17,5,7,0,0,0,0,719,3,6,Matches,,,,,,,,
Abderrahman Rebbach,Alavés,468,dz ALG,"FW,MF",25.0,1998,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches,Spain,stats_standard,4.3,74,118,62.7,1234,255,41,58,70.7,24,35,68.6,8,17,47.1,0,0.3,0.4,-0.3,6,2,5,3,5,Matches,0,6,1,16.7,1.40,0.23,0.00,0.00,20.3,0,0,0,0.03,-0.2,-0.2,Matches,173,4,27,62,85,18,173,14,3,21.4,9,64.3,103,674,389,16,6,7,9,5,107,34,Matches,10,2.34,7,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches,118,108,10,1,0,1,17,2,7,4,0,0,74,0,6,Matches,,,,,,,,
Abdou Harroui,Hellas Verona,255,nl NED,"MF,FW",26.0,1998,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,Matches,Italy,stats_standard,5.1,160,202,79.2,2324,580,96,106,90.6,54,69,78.3,6,15,40.0,2,0.4,0.6,+1.6,4,16,3,2,21,Matches,1,15,4,26.7,2.92,0.78,0.07,0.25,17.7,1,0,0,0.15,-1.2,-1.2,Matches,283,5,41,144,105,17,283,20,6,30.0,13,65.0,175,1241,631,23,20,4,12,10,203,34,Matches,15,2.92,13,0,2,0,0,0,3,0.58,3,0,0,0,0,0,Matches,202,197,4,1,1,0,9,3,0,0,0,0,160,1,6,Matches,,,,,,,,
Abdoul Koné,Reims,279,fr FRA,DF,19.0,2005,4,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,France,stats_standard,1.5,44,65,67.7,881,175,17,20,85.0,21,27,77.8,6,11,54.5,0,0.0,0.0,0.0,0,1,0,0,3,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,86,11,38,39,9,1,86,2,1,50.0,1,50.0,39,150,25,0,0,0,5,1,42,1,Matches,1,0.68,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,65,47,18,1,0,0,0,17,0,0,0,0,44,0,6,Matches,,,,,,,,
Abdoulay Diaby,Boavista,144,ml MLI,"FW,MF",33.0,1991,12,9,894,9.9,1,1,2,1,0,0,1,0,2.6,2.6,0.4,3.0,11,21,48,0.10,0.10,0.20,0.10,0.20,0.26,0.04,0.30,0.26,0.30,Matches,Portugal,stats_standard,9.9,146,211,69.2,2407,522,72,92,78.3,54,70,77.1,13,27,48.1,1,0.4,0.4,+0.6,4,12,5,1,21,Matches,1,19,11,57.9,1.91,1.11,0.05,0.09,14.2,0,0,0,0.14,-1.6,-1.6,Matches,304,5,33,145,130,35,304,18,6,33.3,12,66.7,180,1125,412,11,8,5,18,12,208,48,Matches,16,1.61,12,0,1,2,1,0,2,0.20,1,0,0,1,0,0,Matches,211,197,11,2,0,2,9,1,0,0,0,0,146,3,5,Matches,,,,,,,,
Abdoulaye Bamba,Angers,54,ci CIV,DF,34.0,1990,19,16,1510,16.8,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,1,16,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches,France,stats_standard,16.8,518,585,88.5,10459,3330,126,139,90.6,341,364,93.7,44,68,64.7,0,0.3,0.3,-0.3,6,19,4,3,16,Matches,0,1,0,0.0,0.06,0.00,0.00,,7.2,0,0,0,0.09,-0.1,-0.1,Matches,743,90,411,308,26,3,743,2,2,100.0,0,0.0,408,1532,641,1,2,0,3,4,468,3,Matches,10,0.60,8,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches,585,551,34,13,1,1,5,20,0,0,0,0,518,0,4,Matches,,,,,,,,
Abdoulaye Doucouré,Everton,147,ml MLI,MF,31.0,1993,33,31,2564,28.5,3,2,5,3,0,0,5,1,4.1,4.1,2.4,6.6,42,82,96,0.11,0.07,0.18,0.11,0.18,0.15,0.09,0.23,0.15,0.23,Matches,England,stats_standard,28.5,725,903,80.3,10909,2254,382,446,85.7,263,316,83.2,44,60,73.3,2,2.4,1.4,-0.4,28,44,15,0,82,Matches,3,31,9,29.0,1.09,0.32,0.10,0.33,14.0,0,0,0,0.13,-1.1,-1.1,Matches,1161,32,225,538,413,65,1161,45,24,53.3,21,46.7,604,2952,1396,42,26,8,38,38,750,96,Matches,58,2.04,52,0,3,2,0,1,3,0.11,2,0,0,0,0,1,Matches,903,884,14,5,0,2,23,0,0,0,0,0,725,5,27,Matches,,,,,,,,
Abdoulaye Keita,Getafe,287,es ESP,"FW,MF",21.0,2002,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,Spain,stats_standard,1.1,15,27,55.6,257,66,8,11,72.7,6,6,100.0,1,6,16.7,0,0.0,0.1,0.0,0,3,1,1,2,Matches,0,2,0,0.0,1.89,0.00,0.00,,25.8,0,0,0,0.02,0.0,0.0,Matches,41,3,10,19,12,1,41,3,1,33.3,2,66.7,22,84,24,1,0,0,3,3,25,4,Matches,1,0.95,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,27,26,1,0,0,1,1,1,0,0,0,0,15,0,1,Matches,,,,,,,,
Abdoulaye Niakhate Ndiaye,Brest,399,sn SEN,DF,22.0,2002,22,19,1707,19.0,1,0,1,1,0,0,4,1,1.0,1.0,0.0,1.0,5,39,4,0.05,0.00,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,Matches,France,stats_standard,19.0,804,931,86.4,15938,5904,263,295,89.2,427,471,90.7,108,147,73.5,0,0.0,0.2,0.0,1,36,2,0,39,Matches,1,11,2,18.2,0.58,0.11,0.09,0.50,9.1,0,0,0,0.09,0.0,0.0,Matches,1203,192,726,448,33,21,1203,8,2,25.0,6,75.0,598,3157,1594,5,2,0,15,5,740,4,Matches,11,0.58,6,1,0,2,2,0,0,0.00,0,0,0,0,0,0,Matches,931,888,41,36,0,8,2,1,0,0,0,0,804,2,5,Matches,,,,,,,,
Abdoulaye Touré,Le Havre,526,gn GUI,MF,30.0,1994,28,26,2324,25.8,10,1,11,2,8,9,5,0,9.4,2.2,0.4,2.6,17,109,28,0.39,0.04,0.43,0.08,0.12,0.37,0.02,0.38,0.08,0.10,Matches,France,stats_standard,25.8,868,1059,82.0,16170,4315,346,405,85.4,392,462,84.8,106,138,76.8,1,0.4,1.1,+0.6,7,90,10,5,109,Matches,10,38,6,15.8,1.47,0.23,0.05,0.33,25.4,0,8,9,0.06,+0.6,-0.2,Matches,1354,78,378,784,206,28,1345,33,17,51.5,12,36.4,714,3506,1521,17,14,0,29,30,832,28,Matches,49,1.90,35,0,1,5,7,1,5,0.19,3,0,0,1,1,0,Matches,1059,1040,13,12,3,12,11,0,0,0,0,0,868,6,8,Matches,,,,,,,,
Abdoulie Ceesay,St. Pauli,73,gm GAM,FW,20.0,2004,7,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,8,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,Germany,stats_standard,0.7,8,14,57.1,70,2,7,10,70.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,26,0,2,13,11,2,26,0,0,,0,,12,32,3,0,0,0,4,3,18,8,Matches,1,1.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,14,14,0,0,1,0,0,0,0,0,0,0,8,0,0,Matches,,,,,,,,
Abdukodir Khusanov,Lens,270,uz UZB,DF,20.0,2004,13,11,975,10.8,0,0,0,0,0,0,2,1,0.2,0.2,0.3,0.6,2,43,6,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,France,stats_standard,10.8,483,548,88.1,8942,3769,174,188,92.6,255,276,92.4,43,64,67.2,0,0.3,0.2,-0.3,2,39,4,1,43,Matches,0,6,4,66.7,0.55,0.37,0.00,0.00,24.6,2,0,0,0.04,-0.2,-0.2,Matches,683,90,335,322,34,4,683,1,1,100.0,0,0.0,339,1452,642,2,4,0,5,1,392,6,Matches,11,1.02,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,548,521,26,13,0,3,5,8,0,0,0,0,483,1,3,Matches,,,,,,,,
Abdukodir Khusanov,Manchester City,284,uz UZB,DF,20.0,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,England,stats_standard,5.6,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0,0.1,0.1,-0.1,2,23,0,0,25,Matches,0,1,0,0.0,0.18,0.00,0.00,,23.9,0,0,0,0.02,0.0,0.0,Matches,445,45,205,211,31,1,445,2,0,0.0,2,100.0,274,1155,435,1,1,0,2,1,332,2,Matches,5,0.89,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,395,385,10,6,0,1,1,3,0,0,0,0,360,0,3,Matches,,,,,,,,
Abdul Fatawu Issahaku,Leicester City,177,gh GHA,FW,20.0,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches,England,stats_standard,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,Matches,0,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0,0,0.03,-0.4,-0.4,Matches,326,19,73,114,157,26,326,69,29,42.0,28,40.6,217,1869,1055,42,24,15,18,12,216,60,Matches,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches,197,186,11,1,2,2,30,9,1,0,0,0,123,0,18,Matches,,,,,,,,
Abdul Mumin,Rayo Vallecano,391,gh GHA,DF,26.0,1998,24,24,2017,22.4,2,1,3,2,0,0,6,1,0.6,0.6,0.2,0.8,12,40,6,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,Matches,Spain,stats_standard,22.4,900,1085,82.9,17231,7016,315,339,92.9,492,536,91.8,87,190,45.8,1,0.2,0.1,+0.8,1,40,1,0,40,Matches,2,10,3,30.0,0.45,0.13,0.20,0.67,12.9,0,0,0,0.06,+1.4,+1.4,Matches,1351,253,874,447,39,13,1351,10,5,50.0,4,40.0,725,3467,1525,12,5,2,16,5,819,6,Matches,11,0.49,10,0,0,0,1,0,3,0.13,3,0,0,0,0,0,Matches,1085,1017,65,25,0,8,6,1,0,0,0,0,900,3,4,Matches,,,,,,,,
Abdurrahman Burak Sayın,Fortuna Sittard,80,,FW,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,Matches,Netherlands,stats_standard,0.0,1,1,100.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,1,0,0,0,1,0,1,0,0,,0,,1,1,1,0,0,0,0,0,1,1,Matches,1,22.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,,,,,,,,
Abdón Prats,Mallorca,457,es ESP,"FW,MF",31.0,1992,24,3,456,5.1,2,0,2,1,1,1,4,0,2.2,1.5,0.1,1.6,0,7,14,0.39,0.00,0.39,0.20,0.20,0.45,0.03,0.47,0.29,0.32,Matches,Spain,stats_standard,5.1,58,87,66.7,837,164,34,46,73.9,16,24,66.7,4,6,66.7,0,0.1,0.1,-0.1,3,5,1,0,7,Matches,2,13,4,30.8,2.57,0.79,0.08,0.25,14.7,0,1,1,0.11,-0.2,-0.5,Matches,146,6,15,76,55,25,145,3,1,33.3,2,66.7,77,215,41,0,0,0,17,12,104,14,Matches,7,1.39,5,0,0,1,1,0,1,0.20,0,0,0,0,1,0,Matches,87,82,5,0,0,0,0,0,0,0,0,0,58,0,1,Matches,,,,,,,,
Abel,Osasuna,3,es ESP,DF,23.0,2000,35,20,2074,23.0,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.6,50,77,92,0.09,0.00,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07,Matches,Spain,stats_standard,23.0,776,1071,72.5,12899,5046,385,439,87.7,315,401,78.6,58,158,36.7,0,1.0,1.5,-1.0,16,57,18,13,77,Matches,2,12,4,33.3,0.52,0.17,0.17,0.50,22.9,0,0,0,0.04,+1.5,+1.5,Matches,1322,65,370,605,357,19,1322,35,18,51.4,13,37.1,605,3269,1792,50,44,7,27,18,683,92,Matches,39,1.69,29,2,5,0,1,2,4,0.17,2,0,1,0,0,1,Matches,1071,847,220,14,3,2,85,206,0,0,0,0,776,4,47,Matches,,,,,,,,
