Unnamed: 1_level_0_Player,Unnamed: 4_level_0_Squad,Unnamed: 0_level_0_Rk,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches,League_Unnamed: 37_level_1,Table_Unnamed: 38_level_1,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches,Unnamed: 23_level_0_A-xAG,Unnamed: 24_level_0_KP,Unnamed: 25_level_0_1/3,Unnamed: 26_level_0_PPA,Unnamed: 27_level_0_CrsPA,Unnamed: 28_level_0_Matches,Unnamed: 19_level_0_Matches,Unnamed: 27_level_0_Rec
Warren O'Hora,Hibernian,254,ie IRL,DF,25.0,1999,32,30,2562,28.5,1,0,1,1,0,0,3,0,,,,,,,,0.04,0.00,0.04,0.04,0.04,,,,,,,Scotland,stats_standard,28.5,,,,,,,,,,,,,,,0,,,,,,,,,,1,13,3,23.1,0.46,0.11,0.08,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,3,,,,,,,,,Matches,,,,,,Matches,Matches,
Warren Zaïre-Emery,Paris S-G,543,fr FRA,"MF,DF",18.0,2006,29,23,2050,22.8,1,2,3,1,0,0,3,0,1.7,1.7,1.4,3.1,49,135,92,0.04,0.09,0.13,0.04,0.13,0.07,0.06,0.14,0.07,0.14,Matches,France,stats_standard,22.8,1557,1677,92.8,22787,4864,897,930,96.5,546,575,95.0,60,85,70.6,2,1.4,1.4,+0.6,18,116,9,1,135,Matches,1,17,7,41.2,0.75,0.31,0.06,0.14,20.5,0,0,0,0.10,-0.7,-0.7,Matches,1908,49,314,1051,555,32,1908,37,20,54.1,17,45.9,1211,6383,3200,49,63,6,39,32,1506,92,Matches,52,2.28,47,1,1,3,0,0,4,0.18,2,1,1,0,0,0,Matches,1677,1605,70,17,2,18,9,50,0,0,0,0,1557,2,22,Matches,,,,,,,,
Wataru Endo,Liverpool,167,jp JPN,"MF,DF",31.0,1993,20,1,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19,8,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,England,stats_standard,3.0,182,194,93.8,2833,700,91,97,93.8,77,80,96.3,8,8,100.0,0,0.1,0.1,-0.1,2,16,1,0,19,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,237,12,65,124,49,3,237,2,2,100.0,0,0.0,110,397,169,1,3,1,6,3,163,8,Matches,6,1.96,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,194,188,6,2,0,0,1,4,0,0,0,0,182,0,2,Matches,,,,,,,,
Welington,Southampton,551,br BRA,DF,23.0,2001,10,6,482,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,11,19,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,England,stats_standard,5.4,145,186,78.0,2273,695,71,79,89.9,61,79,77.2,8,16,50.0,0,0.1,0.2,-0.1,3,8,5,4,11,Matches,0,3,0,0.0,0.56,0.00,0.00,,31.3,0,0,0,0.01,0.0,0.0,Matches,276,31,113,102,64,3,276,9,5,55.6,3,33.3,100,389,197,5,4,1,9,4,120,19,Matches,7,1.31,6,1,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches,186,147,39,5,0,1,17,28,6,5,0,0,145,0,8,Matches,,,,,,,,
Wellington Rato,Vitória,413,br BRA,"FW,MF",33.0,1992,5,3,212,2.4,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.2,1,8,13,0.42,0.00,0.42,0.42,0.42,0.07,0.03,0.10,0.07,0.10,Matches,Brazil,stats_standard,2.4,68,87,78.2,1220,282,33,36,91.7,25,29,86.2,9,20,45.0,0,0.1,0.2,-0.1,3,8,3,2,8,Matches,1,5,3,60.0,2.12,1.27,0.20,0.33,26.0,1,0,0,0.03,+0.8,+0.8,Matches,109,1,10,58,43,4,109,2,0,0.0,2,100.0,65,254,73,1,3,0,5,4,83,13,Matches,4,1.70,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,87,77,10,2,0,2,9,1,6,4,1,0,68,0,0,Matches,,,,,,,,
Wendel,Santa Clara,573,br BRA,FW,23.0,2000,6,2,235,2.6,2,0,2,2,0,0,1,0,1.5,1.5,0.3,1.9,3,7,6,0.77,0.00,0.77,0.77,0.77,0.59,0.13,0.73,0.59,0.73,Matches,Portugal,stats_standard,2.6,46,61,75.4,610,159,29,35,82.9,16,19,84.2,0,1,0.0,0,0.3,0.2,-0.3,4,6,4,0,7,Matches,2,4,4,100.0,1.53,1.53,0.50,0.50,10.9,0,0,0,0.38,+0.5,+0.5,Matches,86,2,6,38,43,12,86,7,2,28.6,5,71.4,50,314,93,3,3,2,7,1,60,6,Matches,11,4.25,9,0,1,0,1,0,2,0.77,1,0,0,0,1,0,Matches,61,56,4,0,0,0,0,0,0,0,0,0,46,1,3,Matches,,,,,,,,
Wendell,Porto,574,br BRA,DF,31.0,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.47,0.47,0.47,Matches,Portugal,stats_standard,0.3,15,18,83.3,292,22,5,6,83.3,8,9,88.9,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,1,Matches,0,1,0,0.0,3.91,0.00,0.00,,14.6,0,0,0,0.12,-0.1,-0.1,Matches,20,0,1,10,10,2,20,1,1,100.0,0,0.0,15,89,61,1,0,0,0,0,13,0,Matches,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,18,17,1,0,0,0,2,0,1,1,0,0,15,0,0,Matches,,,,,,,,
Wendell,São Paulo,534,br BRA,DF,31.0,1993,8,6,414,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,8,17,19,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches,Brazil,stats_standard,4.6,204,242,84.3,3353,986,102,111,91.9,82,98,83.7,15,26,57.7,0,0.1,0.2,-0.1,3,14,3,1,17,Matches,0,2,0,0.0,0.43,0.00,0.00,,21.9,0,0,0,0.02,0.0,0.0,Matches,279,17,78,143,61,4,279,3,2,66.7,1,33.3,129,589,316,8,2,0,5,2,155,19,Matches,10,2.17,8,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,242,188,54,15,0,0,17,34,5,0,5,0,204,0,3,Matches,,,,,,,,
Wes Burns,Ipswich Town,78,wls WAL,"FW,DF",29.0,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.00,0.10,0.10,0.00,0.10,0.05,0.16,0.21,0.05,0.21,Matches,England,stats_standard,10.3,153,253,60.5,2416,597,82,102,80.4,51,78,65.4,14,36,38.9,1,1.6,1.2,-0.6,10,8,8,7,8,Matches,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.07,-0.5,-0.5,Matches,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches,16,1.55,12,0,1,1,2,0,1,0.10,1,0,0,0,0,0,Matches,253,244,9,1,0,1,46,8,0,0,0,0,153,0,24,Matches,,,,,,,,
Wesley,Flamengo,535,br BRA,DF,21.0,2003,8,8,712,7.9,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,21,31,84,0.00,0.13,0.13,0.00,0.13,0.02,0.13,0.14,0.02,0.14,Matches,Brazil,stats_standard,7.9,373,438,85.2,6023,1247,194,213,91.1,139,161,86.3,30,44,68.2,1,1.0,0.9,0.0,9,25,11,5,31,Matches,0,6,0,0.0,0.76,0.00,0.00,,26.3,0,0,0,0.02,-0.1,-0.1,Matches,526,12,91,235,204,13,526,20,10,50.0,8,40.0,321,1578,782,21,13,6,17,4,361,84,Matches,21,2.65,17,0,0,0,4,0,3,0.38,1,0,0,0,2,0,Matches,438,375,62,10,0,8,33,52,0,0,0,0,373,1,5,Matches,,,,,,,,
