Player,Team,Age,CosineSimilarity
Tom Bischof,Hoffenheim,19.0,0.5336481298341327
Isaac Palazón Camacho,Rayo Vallecano,29.0,0.5315285775766825
Fredrik Aursnes,Benfica,28.0,0.5305487541306023
Abde Ezzalzouli,Betis,22.0,0.5286636509334627
Moise Kean,Fiorentina,24.0,0.5199397222913476
Valentín Castellanos,Lazio,25.0,0.5187355692484539
Erling Haaland,Manchester City,24.0,0.5159905685208744
Andrea Cambiaso,Juventus,24.0,0.5154453538948475
Adam Hložek,Hoffenheim,22.0,0.5072094167622894
Lucas Paquetá,West Ham,26.0,0.5056966103441833
Lassine Sinayoko,Auxerre,24.0,0.5035835708253412
Bilal El Khannouss,Leicester City,20.0,0.4964608578085201
Leo Sauer,NAC Breda,18.0,0.49627323054439865
Benedict Hollerbach,Union Berlin,23.0,0.49274553415101185
Bryan Zaragoza,Osasuna,23.0,0.48872079945713875
Dylan Mbayo,Zwolle,22.0,0.4886012304975803
Ollie Watkins,Aston Villa,28.0,0.482031272943249
Nicolas Jackson,Chelsea,23.0,0.4816986657336683
Nuno Santos,Vitória,25.0,0.48119371713517206
Samu Omorodion,Porto,20.0,0.4759119399568406
Troy Parrott,AZ Alkmaar,22.0,0.4730270860405633
Diego López,Valencia,22.0,0.4654607547430951
Ermedin Demirović,Stuttgart,26.0,0.4635580539095439
Gustav Isaksen,Lazio,23.0,0.4613122903671819
Yeremi Pino,Villarreal,21.0,0.46013168391644366
Dennis Man,Parma,25.0,0.45770323060304835
Keane Lewis-Potter,Brentford,23.0,0.44527521111709156
Lucas Stassin,Saint-Étienne,19.0,0.439312958291294
Benjamin Šeško,RB Leipzig,21.0,0.43568199520739465
Brennan Johnson,Tottenham,23.0,0.43523490191327674
Arnaud Kalimuendo,Rennes,22.0,0.4338257069487604
Morlaye Sylla,Arouca,26.0,0.4297265981619801
Carlos Vicente,Alavés,25.0,0.4207254027619587
Shuto Machino,Holstein Kiel,24.0,0.41806827546411734
Alexis Claude-Maurice,Augsburg,26.0,0.4136054447845091
Marcos Vinicios Sorriso,Famalicão,23.0,0.4114327919884794
Jean-Philippe Mateta,Crystal Palace,27.0,0.40498906644529564
Pablo Fornals,Betis,28.0,0.4036924663364875
Kevin Schade,Brentford,22.0,0.3966907790603374
Domingos André Ribeiro Almeida,Valencia,24.0,0.39558532174533384
Loïs Openda,RB Leipzig,24.0,0.39457119819701475
Yanis Begraoui,Estoril,23.0,0.39229925496756907
Paxten Aaronson,Utrecht,20.0,0.38904264906420427
Emanuel Emegha,Strasbourg,21.0,0.3853690551063968
Iliman Ndiaye,Everton,24.0,0.3756722153047553
Omari Hutchinson,Ipswich Town,20.0,0.36705122123998807
Jonas Wind,Wolfsburg,25.0,0.34956410942555716
Liam Delap,Ipswich Town,21.0,0.3444559212478674
Kristoffer Peterson,Fortuna Sittard,29.0,0.3430783529524767
Mahdi Camara,Brest,26.0,0.3321466265613633
Clayton,Rio Ave,25.0,0.3311296897659805
Juan Cruz,Leganés,24.0,0.3274262109235087
Gabriel Vieira,Santa Clara,22.0,0.3257286304239735
Thierno Barry,Villarreal,21.0,0.3205076559795605
Boulaye Dia,Lazio,27.0,0.31735281176808294
Pepê,Porto,27.0,0.31362293787354323
Vito van Crooy,NEC Nijmegen,28.0,0.3116627000423102
Sebastiano Esposito,Empoli,22.0,0.30545730738979004
Kai Havertz,Arsenal,25.0,0.30526792765628674
Jørgen Strand Larsen,Wolves,24.0,0.30493095058321196
Cyriel Dessers,Rangers,29.0,0.2942884555240264
