Player,Team,Age,AutoencoderSimilarity
Gabriel Vieira,Santa Clara,22.0,0.5773896
Pepê,Porto,27.0,0.5768359
Sebastiano Esposito,Empoli,22.0,0.5756825
Mateo Retegui,Atalanta,25.0,0.5686054
Takumi Minamino,Monaco,29.0,0.5685092
Tete Morente,Lecce,27.0,0.5634515
Nikola Vlašić,Torino,26.0,0.56285894
Jonathan David,Lille,24.0,0.5579623
Viktor Tsyhankov,Girona,26.0,0.5574758
Gaetano Oristanio,Venezia,21.0,0.55667496
Pablo Fornals,Betis,28.0,0.555712
Lautaro Martínez,Inter,26.0,0.554111
Paxten Aaronson,Utrecht,20.0,0.5526949
Nuno Santos,Vitória,25.0,0.5360813
Teun Koopmeiners,Juventus,26.0,0.53077364
Moise Kean,Fiorentina,24.0,0.5302297
Adam Hložek,Hoffenheim,22.0,0.52251947
Farid El Melali,Angers,27.0,0.5174993
Tomáš Suslov,Hellas Verona,22.0,0.508222
Tyler Dibling,Southampton,18.0,0.5054221
Keito Nakamura,Reims,24.0,0.50366616
Fredrik Aursnes,Benfica,28.0,0.50336206
Valentín Castellanos,Lazio,25.0,0.50061274
Mahdi Camara,Brest,26.0,0.49741033
Ilias Sebaoui,Heerenveen,22.0,0.49719492
Serhou Guirassy,Dortmund,28.0,0.49034616
Jonathan Burkardt,Mainz 05,24.0,0.4901069
Yoane Wissa,Brentford,27.0,0.48485628
Liam Delap,Ipswich Town,21.0,0.48133948
Ange-Yoan Bonny,Parma,20.0,0.48113826
John Mercado,AVS Futebol,22.0,0.47929254
Jean-Philippe Mateta,Crystal Palace,27.0,0.4791974
Alexis Claude-Maurice,Augsburg,26.0,0.47897193
Kristoffer Peterson,Fortuna Sittard,29.0,0.46319917
Erling Haaland,Manchester City,24.0,0.4613262
Troy Parrott,AZ Alkmaar,22.0,0.4610218
Miguel Reisinho,Boavista,25.0,0.45798656
Tim Kleindienst,Gladbach,28.0,0.45152637
Samu Omorodion,Porto,20.0,0.4486626
Marvin Pieringer,Heidenheim,24.0,0.44469562
Evanilson,Bournemouth,24.0,0.43882713
Kodai Sano,NEC Nijmegen,20.0,0.4388084
Clayton,Rio Ave,25.0,0.43628845
Benjamin Šeško,RB Leipzig,21.0,0.43584988
Lorenzo Colombo,Empoli,22.0,0.43472514
Loïs Openda,RB Leipzig,24.0,0.43139663
Santiago Castro,Bologna,19.0,0.4262987
Shuto Machino,Holstein Kiel,24.0,0.42556968
Arnaud Kalimuendo,Rennes,22.0,0.4225692
Habib Diarra,Strasbourg,20.0,0.41676506
Nicolas Jackson,Chelsea,23.0,0.4154258
Junior Kadile,Almere City,21.0,0.4127361
Pep Chavarría,Rayo Vallecano,26.0,0.41236058
Tiago Tomás,Wolfsburg,22.0,0.40927312
Valentino Lazaro,Torino,28.0,0.4082847
Thierno Barry,Villarreal,21.0,0.40664253
Tobias Lauritsen,Sparta R'dam,26.0,0.40638366
Morgan Guilavogui,St. Pauli,26.0,0.40557793
Matthis Abline,Nantes,21.0,0.40445265
Jack Harrison,Everton,27.0,0.4028488
Giuseppe Pezzella,Empoli,26.0,0.40091863
Vinícius,Santa Clara,25.0,0.39721248
Joelinton,Newcastle Utd,27.0,0.3953822
Yanis Begraoui,Estoril,23.0,0.39303717
Oskar Zawada,RKC Waalwijk,28.0,0.38375786
Lucas Beltrán,Fiorentina,23.0,0.382942
Brennan Johnson,Tottenham,23.0,0.38201556
Javi Puado,Espanyol,26.0,0.3808019
Gorka Guruzeta,Athletic Club,27.0,0.37886497
Boulaye Dia,Lazio,27.0,0.37660173
Suf Podgoreanu,Heracles Almelo,22.0,0.3709444
Yassine Kechta,Le Havre,22.0,0.3677111
Nicolás Domínguez,Nott'ham Forest,26.0,0.36534962
Fábio Silva,Las Palmas,22.0,0.36342666
Ermedin Demirović,Stuttgart,26.0,0.35908374
Josué Casimir,Le Havre,22.0,0.3460301
Thomas Robinet,Almere City,27.0,0.3452281
Jochem van de Kamp,Almere City,20.0,0.34515807
Dominic Solanke,Tottenham,26.0,0.34039363
Patrick Dorgu,Lecce,19.0,0.33962032
Andrea Pinamonti,Genoa,25.0,0.33736572
Artem Dovbyk,Roma,27.0,0.3339679
Thom van Bergen,Groningen,20.0,0.33193186
Kevin Schade,Brentford,22.0,0.33132586
Che Adams,Torino,28.0,0.33063415
Lorenzo Lucca,Udinese,23.0,0.3302348
Diego López,Valencia,22.0,0.3277844
Christantus Uche,Getafe,21.0,0.32749704
Lucas Stassin,Saint-Étienne,19.0,0.32746878
Mikel Oyarzabal,Real Sociedad,27.0,0.32355013
Kornelius Hansen,Almere City,23.0,0.32211706
