Player,Team,Age,CosineSimilarity,AutoencoderSimilarity,KMeansScore,EuclideanSimilarity,ManhattanSimilarity,FinalScore
Michael Olise,Bayern Munich,22.0,0.9626455581713292,0.9900547,1.0,1.0,1.0,0.9900427947745437
Florian Wirtz,Leverkusen,21.0,0.9714632234966615,1.0,0.9996928102525454,0.9156558,0.8979427468419815,0.9755449821478703
Rayan Cherki,Lyon,20.0,0.9576025290586856,0.94747245,0.9550822876903002,0.8772804,0.9327681698164532,0.9436722826451247
Lamine Yamal,Barcelona,17.0,0.9298970326586278,0.9479599,0.9207137683794082,0.94208086,0.9444440873613298,0.9338716932230781
Matheus Cunha,Wolves,25.0,0.9999999999999999,0.9731728,0.7798946648679933,0.6858771,0.759509553819177,0.8607949969921751
Charles De Ketelaere,Atalanta,23.0,0.9599285299936849,0.9868481,0.8295993831567684,0.60422033,0.6405679672419985,0.8535363488795789
Cole Palmer,Chelsea,22.0,0.9580312421192358,0.9415263,0.7571078229459883,0.72305286,0.7764928442286763,0.8419301287569726
Maghnes Akliouche,Monaco,22.0,0.8944818416381262,0.9138198,0.8007132053885664,0.63718736,0.7348605312841817,0.8248057269853827
Noa Lang,PSV Eindhoven,25.0,0.9004088893289273,0.8330806,0.8461291763623746,0.66598624,0.7227781555079352,0.8233735765772403
Raphinha,Barcelona,27.0,0.9231276173064316,0.89162934,0.7905298437033133,0.7070074,0.668984648596724,0.8218175104875598
Vinicius Júnior,Real Madrid,24.0,0.8918904837408425,0.8419664,0.8282134604970675,0.7035338,0.6579528387517518,0.8148930707854879
Francisco Trincão,Sporting CP,24.0,0.914299995091548,0.92739177,0.746936483431403,0.62325907,0.7067940110611927,0.8091410172093597
Mason Greenwood,Marseille,22.0,0.9260523467742782,0.85907185,0.7331231181397726,0.7086926,0.6665360961749622,0.7940943925517067
Rafael Leão,Milan,25.0,0.8922141077635204,0.88038135,0.7794385952262483,0.56431186,0.6568819501902821,0.7934610467922747
Alex Baena,Villarreal,23.0,0.8574613669453729,0.87019336,0.7335382898916678,0.6772097,0.7541360873867471,0.7889135961503914
