Player,Team,Age,EuclideanSimilarity
Cody Gakpo,Liverpool,25.0,0.34604368
Marvin Ducksch,Werder Bremen,30.0,0.34397528
Ayoze Pérez,Villarreal,31.0,0.3433467
Deniz Undav,Stuttgart,28.0,0.34173983
Alassane Pléa,Gladbach,31.0,0.34005016
Tyler Dibling,Southampton,18.0,0.3396687
Gabriel Strefezza,Como,27.0,0.33844805
Thomas Ouwejan,NEC Nijmegen,27.0,0.3380105
Rubén García,Osasuna,31.0,0.33249038
Yeremi Pino,Villarreal,21.0,0.3299207
Takumi Minamino,Monaco,29.0,0.32991686
Dango Ouattara,Bournemouth,22.0,0.32975933
Álex Berenguer,Athletic Club,29.0,0.32940826
Keane Lewis-Potter,Brentford,23.0,0.32749113
Dodi Lukebakio,Sevilla,26.0,0.32746196
Ringo Meerveld,Willem II,23.0,0.32379466
Luuk de Jong,PSV Eindhoven,33.0,0.32335046
Farid El Melali,Angers,27.0,0.32307023
Sontje Hansen,NEC Nijmegen,22.0,0.32302406
Alberto Moleiro,Las Palmas,20.0,0.319546
Tomáš Suslov,Hellas Verona,22.0,0.31839043
Tom Bischof,Hoffenheim,19.0,0.31792262
Alexander Isak,Newcastle Utd,24.0,0.3177432
Pepê,Porto,27.0,0.31611952
Kristoffer Peterson,Fortuna Sittard,29.0,0.3151095
Mohamed Amoura,Wolfsburg,24.0,0.3131223
Mateo Retegui,Atalanta,25.0,0.31275624
Lassine Sinayoko,Auxerre,24.0,0.3088912
Pep Chavarría,Rayo Vallecano,26.0,0.30762687
Ilias Sebaoui,Heerenveen,22.0,0.30762056
Anthony Elanga,Nott'ham Forest,22.0,0.30651045
Óscar Aranda,Famalicão,22.0,0.30587807
Leo Sauer,NAC Breda,18.0,0.30577248
Valentino Lazaro,Torino,28.0,0.30572152
Sebastian Nanasi,Strasbourg,22.0,0.30555394
Kenneth Taylor,Ajax,22.0,0.3050544
João Carvalho,Estoril,27.0,0.30438864
Gabriel Martinelli,Arsenal,23.0,0.30356842
John McGinn,Aston Villa,29.0,0.30170605
Robert Lewandowski,Barcelona,35.0,0.30035356
Serhou Guirassy,Dortmund,28.0,0.300178
Loïc Nego,Le Havre,33.0,0.29682624
Omari Hutchinson,Ipswich Town,20.0,0.29553792
Tete Morente,Lecce,27.0,0.29486996
Ermedin Demirović,Stuttgart,26.0,0.29361084
Marcus Thuram,Inter,26.0,0.29231256
Andrej Kramarić,Hoffenheim,33.0,0.29147208
Zuriko Davitashvili,Saint-Étienne,23.0,0.28621957
Alexandre Lacazette,Lyon,33.0,0.28530076
