Player,Team,Age,KMeansScore
Pepê,Porto,27.0,0.5052232423429609
Victor Edvardsen,Go Ahead Eag,28.0,0.4990873917771469
Himad Abdelli,Angers,24.0,0.49822873237340054
Bilal El Khannouss,Leicester City,20.0,0.49349914316878724
Leo Sauer,NAC Breda,18.0,0.4847697779113069
Andrea Cambiaso,Juventus,24.0,0.48319680639170065
Fredrik Aursnes,Benfica,28.0,0.4830579526925069
João Carvalho,Estoril,27.0,0.48130470045574464
Benedict Hollerbach,Union Berlin,23.0,0.47193471851293445
Lautaro Martínez,Inter,26.0,0.46770800873570956
Diego López,Valencia,22.0,0.46603998419040515
Issa Soumaré,Le Havre,23.0,0.464469309595588
Óscar Aranda,Famalicão,22.0,0.46402484666995975
Keito Nakamura,Reims,24.0,0.4627036488456669
Tom Bischof,Hoffenheim,19.0,0.46256129773189203
Pablo Fornals,Betis,28.0,0.46093463789418004
Alexis Claude-Maurice,Augsburg,26.0,0.46007842312743347
Domingos André Ribeiro Almeida,Valencia,24.0,0.4573644619124459
Farid El Melali,Angers,27.0,0.45735275229200406
Nikola Vlašić,Torino,26.0,0.4563057825959221
Ricardo Horta,Braga,29.0,0.45394444185229155
Brennan Johnson,Tottenham,23.0,0.45219247213952113
Juan Cruz,Leganés,24.0,0.45123749592789764
Jonathan David,Lille,24.0,0.4495916115112313
Loïs Openda,RB Leipzig,24.0,0.44870870511398636
Jorge de Frutos,Rayo Vallecano,27.0,0.44104094020581275
Josué Casimir,Le Havre,22.0,0.44028478047376335
Omari Hutchinson,Ipswich Town,20.0,0.43898616013231784
Gaetano Oristanio,Venezia,21.0,0.4384391515729146
Tim Kleindienst,Gladbach,28.0,0.43720180711878887
Junior Kadile,Almere City,21.0,0.4351624407289388
Jérémy Livolant,Casa Pia,26.0,0.43444658876563147
Nicolas Jackson,Chelsea,23.0,0.43404196831118197
Carlos Vicente,Alavés,25.0,0.43198184199561734
Shuto Machino,Holstein Kiel,24.0,0.43151844745938195
Valentín Castellanos,Lazio,25.0,0.4311873831469315
Tiago Tomás,Wolfsburg,22.0,0.4310460995635785
Kevin Schade,Brentford,22.0,0.43075678924609273
Morlaye Sylla,Arouca,26.0,0.4271710225837795
Sandro Ramírez,Las Palmas,29.0,0.42584328455404813
Morgan Guilavogui,St. Pauli,26.0,0.42564740209592977
Tyler Dibling,Southampton,18.0,0.4243592455581909
Patrick Dorgu,Lecce,19.0,0.4224977927977627
Jonas Wind,Wolfsburg,25.0,0.41952769929766426
Tete Morente,Lecce,27.0,0.41924955218598725
Teun Koopmeiners,Juventus,26.0,0.4186383147731871
Lucas Paquetá,West Ham,26.0,0.4176144589018573
Ilias Sebaoui,Heerenveen,22.0,0.41745395716062694
Habib Diarra,Strasbourg,20.0,0.4161291222818255
Ringo Meerveld,Willem II,23.0,0.41572797153861235
Sebastiano Esposito,Empoli,22.0,0.415175082150886
Lucas Beltrán,Fiorentina,23.0,0.4150585995720437
Yanis Begraoui,Estoril,23.0,0.41348511537764776
Mateo Retegui,Atalanta,25.0,0.41205489719739075
Paxten Aaronson,Utrecht,20.0,0.41178070483097795
Iliman Ndiaye,Everton,24.0,0.4102329364071738
Gabriel Vieira,Santa Clara,22.0,0.40880173782993967
Jonathan Burkardt,Mainz 05,24.0,0.40121535402508796
Benjamin Šeško,RB Leipzig,21.0,0.40041926307957315
Troy Parrott,AZ Alkmaar,22.0,0.3991145203943663
Matthis Abline,Nantes,21.0,0.3986220326161299
Lucas Stassin,Saint-Étienne,19.0,0.397233071415249
Jofre,Espanyol,23.0,0.3969748541149897
Joelinton,Newcastle Utd,27.0,0.3963069222408262
Mahdi Camara,Brest,26.0,0.39367247465371596
Kai Havertz,Arsenal,25.0,0.39331811006988554
Suf Podgoreanu,Heracles Almelo,22.0,0.39278637795469945
Yoane Wissa,Brentford,27.0,0.39245782049140454
Keane Lewis-Potter,Brentford,23.0,0.39224002953282183
Boulaye Dia,Lazio,27.0,0.3915869988198357
Fábio Silva,Las Palmas,22.0,0.390743955705536
Marvin Pieringer,Heidenheim,24.0,0.39066693540905945
John McGinn,Aston Villa,29.0,0.3894292529185462
