Player,Team,Age,AutoencoderSimilarity
Yanis Begraoui,Estoril,23.0,0.65792745
Nikola Vlašić,Torino,26.0,0.654608
Tete Morente,Lecce,27.0,0.6535599
Ringo Meerveld,Willem II,23.0,0.65326667
Patrick Dorgu,Lecce,19.0,0.64856577
Tim Kleindienst,Gladbach,28.0,0.6445128
Jonathan Burkardt,Mainz 05,24.0,0.64374447
Joelinton,Newcastle Utd,27.0,0.6434651
Gustav Isaksen,Lazio,23.0,0.64308715
Abde Ezzalzouli,Betis,22.0,0.6429459
Adam Hložek,Hoffenheim,22.0,0.6415322
Leo Sauer,NAC Breda,18.0,0.6411217
Omari Hutchinson,Ipswich Town,20.0,0.63961387
Habib Diarra,Strasbourg,20.0,0.6359753
Keane Lewis-Potter,Brentford,23.0,0.63326937
Noni Madueke,Chelsea,22.0,0.6326048
Anthony Elanga,Nott'ham Forest,22.0,0.6297416
Jonathan David,Lille,24.0,0.6267475
Serhou Guirassy,Dortmund,28.0,0.6254646
Keito Nakamura,Reims,24.0,0.6246978
Samu Omorodion,Porto,20.0,0.6246015
Diego López,Valencia,22.0,0.62119454
Sebastiano Esposito,Empoli,22.0,0.6186034
Benedict Hollerbach,Union Berlin,23.0,0.6177885
Teun Koopmeiners,Juventus,26.0,0.6150473
Alejandro Garnacho,Manchester Utd,20.0,0.61359227
Arnaud Kalimuendo,Rennes,22.0,0.6107804
Jonas Wind,Wolfsburg,25.0,0.60747665
Boulaye Dia,Lazio,27.0,0.6056413
Farid El Melali,Angers,27.0,0.6054249
Ilias Sebaoui,Heerenveen,22.0,0.60483074
Sandro Ramírez,Las Palmas,29.0,0.60266876
Gaetano Oristanio,Venezia,21.0,0.5960991
Vito van Crooy,NEC Nijmegen,28.0,0.5950583
Shuto Machino,Holstein Kiel,24.0,0.58608294
Gabriel Martinelli,Arsenal,23.0,0.58586913
Kodai Sano,NEC Nijmegen,20.0,0.5841176
Moise Kean,Fiorentina,24.0,0.5801065
John McGinn,Aston Villa,29.0,0.57876396
Issa Soumaré,Le Havre,23.0,0.5756815
Mahdi Camara,Brest,26.0,0.57345504
Junior Kadile,Almere City,21.0,0.5722032
Fábio Silva,Las Palmas,22.0,0.5700191
Nikola Krstović,Lecce,24.0,0.5690888
Lucas Beltrán,Fiorentina,23.0,0.5685548
Troy Parrott,AZ Alkmaar,22.0,0.567664
Clayton,Rio Ave,25.0,0.5671195
Javi Puado,Espanyol,26.0,0.5661399
Dominic Solanke,Tottenham,26.0,0.5652564
Benjamin Šeško,RB Leipzig,21.0,0.5643804
Iliman Ndiaye,Everton,24.0,0.56411135
Yassine Kechta,Le Havre,22.0,0.5629937
Miguel Reisinho,Boavista,25.0,0.56217676
Kevin Schade,Brentford,22.0,0.56182015
Loïs Openda,RB Leipzig,24.0,0.5594586
Pep Chavarría,Rayo Vallecano,26.0,0.5588309
Ermedin Demirović,Stuttgart,26.0,0.55735403
Kai Havertz,Arsenal,25.0,0.550552
Jens Odgaard,Bologna,25.0,0.5492999
Jean-Philippe Mateta,Crystal Palace,27.0,0.54883343
Santiago Castro,Bologna,19.0,0.5477323
Marvin Pieringer,Heidenheim,24.0,0.54770696
Yoane Wissa,Brentford,27.0,0.5450752
Tomáš Suslov,Hellas Verona,22.0,0.5449011
Jofre,Espanyol,23.0,0.5431769
Cisse Sandra,Willem II,20.0,0.54159147
Brennan Johnson,Tottenham,23.0,0.53926444
Carlos Vicente,Alavés,25.0,0.5337127
Jack Harrison,Everton,27.0,0.5333558
Paxten Aaronson,Utrecht,20.0,0.53266215
Nicolas Jackson,Chelsea,23.0,0.53141695
Jon Guridi,Alavés,29.0,0.5309553
Oskar Zawada,RKC Waalwijk,28.0,0.5297652
Lucas Stassin,Saint-Étienne,19.0,0.52717465
John Mercado,AVS Futebol,22.0,0.5267264
Jorge de Frutos,Rayo Vallecano,27.0,0.52634925
Dany Mota,Monza,26.0,0.52544874
Zakaria Aboukhlal,Toulouse,24.0,0.5232596
Alfonso Trezza,Arouca,25.0,0.52321374
Ollie Watkins,Aston Villa,28.0,0.52215314
Nicolás Domínguez,Nott'ham Forest,26.0,0.5170986
Erling Haaland,Manchester City,24.0,0.5170066
Suf Podgoreanu,Heracles Almelo,22.0,0.51594305
Che Adams,Torino,28.0,0.5153788
Valentino Lazaro,Torino,28.0,0.5089682
